label,description,category,subject,placeLabel,placeLocality,timeBegin,timeEnd,url
Event name: Expo Photo, Event description: ,Event category: ,Event subject: ,Event place: Roquebillière,Event place location: Roquebillière,Event time begin: 2018-01-20T10:30:00Z,Event time end: 2018-02-16T15:00:00Z,http://data.linkedevents.org/event/3d48b208-97d7-33a0-8c61-4b72900106fd
Event name: Location de scooter électrique 1 heure," Event description: Après une courte marche, vous pouvez visiter Nice avec nos scooters électriques. Le départ se fait depuis notre boutique Find Out, 1 rue du Pontin à NiceDes rendez-vous sont organisés toutes les heures. Vous serez libre de choisir votre itinéraire et nous seront là pour vous conseiller. À bientôt !Après une courte marche, vous pouvez visiter Nice avec nos scooters électriques. Le départ se fait depuis notre boutique Find Out, 1 rue du Pontin à NiceDes rendez-vous sont organisés toutes les heures. Vous serez libre de choisir votre itinéraire et nous seront là pour vous conseiller. À bientôt !Après une courte marche, vous pouvez visiter Nice avec nos scooters électriques. Le départ se fait depuis notre boutique Find Out, 1 rue du Pontin à NiceDes rendez-vous sont organisés toutes les heures. Vous serez libre de choisir votre itinéraire et nous serons là pour vous conseiller. Vous pourrez découvrir la Baie des Anges, le marché aux fleurs, le Vieux Nice... Vous êtes libre de circuler avec votre famille ou vos amis. Nos scooters E-TWOW sont à la pointe de la technologie. Ils vous permettront de marcher en toute sécurité. Nous vous fournirons l’équipement nécessaire pour votre sécurité. À bientôt ! Nos locations sont possibles pour les personnes de plus de 16 ans. Vous devez peser moins de 100 kg pour être en mesure de les utiliser. Le port du casque est obligatoire, il vous sera fourni gratuitement.

60 minutes

12,00
10.89
14.32",Event category: Circuits et visites touristiques,Event subject: ,Event place: Nice,Event place location: Nice,Event time begin: 2018-07-24T16:29:00Z,Event time end: 2020-07-24T16:29:00Z,http://data.linkedevents.org/event/3d730e28-d273-370b-be98-a4dabb6e86d3
Event name: Après-midi autour du vinyle," Event description: Lieu: Médiathèque Albert Camus - 19 Boulevard Gustave ChancelDate: 18 Novembre 2017 Après-midi autour du vinyle
Samedi 18 novembre
Présentation du matériel d’écoute des disques vinyles.De 14h à 18h, espace Musiques, niveau 1
Médiathèque Camus, 19 Boulevard ChancelTel : 04 92 19 75 80",Event category: ,Event subject: ,Event place: Médiathèque Albert Camus,Event place location: Antibes,Event time begin: 2017-11-18T00:00:00Z,Event time end: 2017-11-18T23:59:00Z,http://data.linkedevents.org/event/3d73db18-fce5-3ff4-b395-58226c080353
"Event name: 6-Hour Sightseeing Tour to Antibes, Cannes, Grasse"," Event description: Private minibus trip. Price for a group, from 1 to 8 passengers per vehicle. Highlights over the west-side, History of Cannes and the French Riviera. Coastal views, seaside drive from Nice to Antibes, and to Cannes. See medieval town Grasse - Capital in Perfumery.Private minibus trip. Price for a group, from 1 to 8 passengers per vehicle. Highlights over the west-side, History of Cannes and the French Riviera. Coastal views, seaside drive from Nice to Antibes, and to Cannes. See medieval town Grasse - Capital in Perfumery.6-Hour Tour in a comfortable minivan with a knowledgeable driver / tour guide. Learn History of Cannes and the French Riviera. Enjoy your ride along seacoast, stop in the Old Antibes. Provençal food market is popular and it takes place every day - except Mondays. Walk in the port of Antibes known as Bay of Billionaires. Then by the coast arrive to Cannes, famous Croisette street, where you can see hand impressions of movie stars - Walk of Fame of Cannes, by the Palace of Festivals. Later following your way to medieval Grasse - french capital in perfumery. You will have a guided tour in the Fragonard factory, one of local perfume manufacturers.

6 heures

450,00
408.40
536.84",Event category: Circuits privés,Event subject: ,Event place: Nice,Event place location: Nice,Event time begin: 2018-07-24T16:29:00Z,Event time end: 2020-07-24T16:29:00Z,http://data.linkedevents.org/event/3d744cca-d629-3aaf-8f0d-1fe3e9459fba
Event name: Mine de rien," Event description: Lieu: Théâtre du Tribunal - 5 place Amiral Barnaud Date: 31 Décembre 2018  - 5 Janvier 2019 Mine de rien
Lundi 31 décembre à 20h et 22h30Du mercredi 2 au samedi 5 janvier à 20h30
Spectacle de et avec Patrick Cottet-Moine
Ce farfelu sort des sentiers où il s’est battu pour refaire le monde, le sien, aussi vaste que son imagination.D’un rien, il dessine des univers entiers avec un art consommé du mouvement et de l’acuité du regard. C’est un adroit qui se plait à jouer les maladroits, un magicien de la gestuelle qui peut transformer un tabouret en ange, un drap en cheval...
Pour le réveillon du 31 décembre, tarif unique 30 € (champagne et petits fours)Tarifs: 15 €, réduit 13 € (séniors (+65 ans), comités d’entreprise, intermittents, FNCTA, handicapés, groupe (8 personnes minimum), pôle emploi, familles nombreuses, adhérents); plus que réduit 11 € (étudiants, Carte LOL, enfants (- 12 ans), CE en pré-vente); Abonnement 5 spectacles pour 1 an : 50 €.Réservations au 06 43 44 38 21Théâtre Le Tribunal, 5 Place Amiral Barnaud.",Event category: ,Event subject: ,Event place: Théâtre du Tribunal,Event place location: Antibes,Event time begin: 2018-12-31T00:00:00Z,Event time end: 2019-01-05T23:59:00Z,http://data.linkedevents.org/event/3dae8202-01ae-30a8-93f0-178343eac149
Event name: Les nuits de la Garoupe," Event description: Lieu: Plateau de la Garoupe - 635 route du Phare 06600 AntibesDate: 12 Août 2020 Les nuits de la Garoupe
Mercredi 12 août
L'association des Amis du Sanctuaire de la Garoupe organise la 1ere édition des ""Nuits de la Garoupe"".Une vingtaine d'artistes et d'artisans amateurs (sculpteurs, céramistes, peintres, dessinateurs) sont présents pour présenter leurs oeuvres sur le plateau de la Garoupe.Le Bistrot du curé est aussi ouvert jusqu'à 21h.
De 16h à 21h. Accès libre.Infos au 06.63.18.45.59.",Event category: ,Event subject: ,Event place: Plateau de la Garoupe,Event place location: Antibes,Event time begin: 2020-08-12T00:00:00Z,Event time end: 2020-08-12T23:59:00Z,http://data.linkedevents.org/event/3dcbb74f-69d1-38b1-9157-c0a43c94a589
Event name: Parachute ascensionnel à Nice," Event description: Profitez d'une vue imprenable sur la Côte d'Azur lors de cette expérience de parachute ascensionnel à Nice, une amusante activité de plage pour toute la famille. Envolez-vous dans le chaud ciel méditerranéen et admirez la vue superbe sur la Baie des Anges, Nice et les montagnes au-delà. Choisissez une session en solo ou amenez jusqu'à deux amis et profitez de la balade ensemble ! Choisissez votre propre horaire en fonction de vos temps de parachute ascensionnel. Une présentation des consignes de sécurité est incluse.Profitez d'une vue imprenable sur la Côte d'Azur lors de cette expérience de parachute ascensionnel à Nice, une amusante activité de plage pour toute la famille. Envolez-vous dans le chaud ciel méditerranéen et admirez la vue superbe sur la Baie des Anges, Nice et les montagnes au-delà. Choisissez une session en solo ou amenez jusqu'à deux amis et profitez de la balade ensemble ! Choisissez votre propre horaire en fonction de vos temps de parachute ascensionnel. Une présentation des consignes de sécurité est incluse.Rendez-vous à la base de sports aquatiques sur la Promenade des Anglais - promenade célèbre de Nice le long de la plage - et retrouvez votre sympathique instructeur de parachute ascensionnel. Vous pouvez réserver votre session n'importe quel jour de la semaine et arriver à n'importe quel moment entre 9:00 et 18:00.  Profitez de votre session de parachute ascensionnel en solo, partagez-la avec un compagnon, ou amenez deux amis et envolez-vous en trio. Après un briefing sur la sécurité, enfilez votre harnais, entrez dans l'eau chaude et préparez-vous pour le décollage ! Alors que votre bateau tracte devant et que votre parachute se remplit, élevez-vous sans effort à 50 mètres dans le ciel bleu azur.  Suspendu dans les airs, admirez la vue spectaculaire sur la Baie des Anges, l'étalement urbain de Nice et les montagnes environnantes de la Côte d'Azur. Par temps clair, vous pouvez voir sur des kilomètres !  Au bout de sept minutes environ de suspension dans les airs de la Méditerranée, vous atterrirez dans la mer avant de rejoindre la plage pour terminer votre expérience de parachute ascensionnel.

7 minutes

33,33
30.25
39.76",Event category: Paravoile,Event subject: ,Event place: Nice,Event place location: Nice,Event time begin: 2018-07-24T16:29:00Z,Event time end: 2020-07-24T16:29:00Z,http://data.linkedevents.org/event/3df69199-9fe8-362e-9675-520a415af29a
"Event name: Auto-Psy, de petits crimes innocents"," Event description: Lieu: Théâtre Antibéa (Antibéa Comédie d'Antibes) - 1 Place NationaleDate: 28 Septembre 2017 Auto-Psy, de petits crimes innocents
Pièce de Gérard Gruhn, msie en scène de Jo Scaringella, Giorgio TebibSpectacle à 20h30.
Tarif unique 10 €Réservations au 04.93.34.24.30",Event category: ,Event subject: ,Event place: Théâtre Antibéa (Antibéa Comédie d'Antibes),Event place location: Antibes,Event time begin: 2017-09-28T00:00:00Z,Event time end: 2017-09-28T23:59:00Z,http://data.linkedevents.org/event/3e227e22-634e-3c99-b291-2f3972f208a5
Event name: Spectacle de Magie Valdeblore," Event description: Dimanche 9 : Spectacle de magie, 15h, salle du Clôt, La Bolline, offert par la Métropole NCA.",Event category: ,Event subject: ,Event place: La Bolline,Event place location: La Bolline,Event time begin: 2018-12-09T15:00:00Z,Event time end: 2018-12-09T15:00:00Z,http://data.linkedevents.org/event/3e2fb4a2-663d-3106-b38d-1dbea5d49c8d
Event name: Tournée Caravane du Sport," Event description: ACTIVITÉS SPORTIVES ET CITOYENNES

Organisée par le Comité Départemental Olympique et Sportif des Alpes-Maritimes, en partenariat avec le Conseil Départemental 06 et l’Agence nationale du Sport, la Caravane du sport vient à Auron. 

Cette manifestation permet de faire découvrir plusieurs sports, gratuitement, à des jeunes entre 4 et 14 ans n’ayant pas toujours la possibilité de les pratiquer. 

Rendez-vous sur la Place Centrale d’Auron de 10h à 12h et de 13h30 à 16h30

1) ACTIVITÉS SPORTIVES :
-Athlétisme (parcours ludique : course, saut de haies…)
-Badminton (pratique individuelle : frappe du volant dans un cerceau attaché en l’air…)
-Baseball (frappe dans structure gonflable)
-Disc golf (attribution de 2 disques par pratiquant)
-Escrime
-Football (sans contact avec dribble –jonglage -Tir au but structure gonflable)
-Golf (tir dans structure gonflable ou filet)
-Gymnastique (parcours avec poutre, caisses en bois et cerceaux)
-Hockey sur gazon (pratique individuelle sans contact)
-Pétanque et sport boules 
-Rugby (sans contact)
-Tennis et Tennis de table 
-Tir laser
-Katas (karaté individuel sans contact)

2) ACTIVITÉS CITOYENNES :
-Carton rouge à la violence (quizz sur le fairplay et l’olympisme)
-SDIS 06 avec les gestes qui sauvent
-Musée national du Sport avec expositions sur différentes thématiques
-CARF : Sensibilisation au tri sélectif
-BPDJ : information et jeux ludiques sur les addictions",Event category: ,Event subject: ,Event place: Auron - Page Officielle de la station,Event place location: Saint-Étienne-de-Tinée,Event time begin: 2020-08-08T08:00:00Z,Event time end: 2020-08-08T14:30:00Z,http://data.linkedevents.org/event/3e6edf63-ba8d-3312-a1b3-7a60b1073525
Event name: NUIT DU CONTE," Event description: 20h30 - 22h Différents contes à 3 placettes du village (placette des herbes, placette obscure, placette des pénitents blancs). 22h - 23h Spectacle avec la conteuse Clara Pinera, placette des pénitents blancs. 23h à ... ""Pèle mêle"" avec tous les conteurs, placette des pénitents blancs. PENSEZ A APPORTER UN PETIT LAINAGE ! Entrée libre. Renseignements au Bureau d'Information Touristique Métropolitain : 04 93 03 51 66",Event category: ,Event subject: ,Event place: BELVEDERE 06450,Event place location: BELVEDERE 06450,Event time begin: 2019-08-02T20:30:00Z,Event time end: 2019-08-02T20:30:00Z,http://data.linkedevents.org/event/3e863acf-8fbd-350c-90f0-2b12e64de8bd
"Event name: Concert ""Stars à Juan"""," Event description: Lieu: Pinède Gould - 10 boulevard ArdissonDate: 11 Juillet 2019 Concert "" Stars à Juan ""
Jeudi 11 juillet, l’association ""Enfant Star & Match"" propose un grand show inter-générations ouvert à tous pour venir en aide aux enfants malades. Des artistes se retrouvent sur la magnifique scène de la Pinède pour ""Stars à Juan"" dès 20h30.
Seront notamment présents Slimane, Patrick Juvet, Julie Zenatti, Lea Paci, Adryano, Loïc Nottet,  Anaïs Delva ou le magicien Dany Lary.  Le spectacle sera présenté par l’animateur Jérôme Anthony.
Places à 15€ (moins de 18 ans), 20€ et 70 € (VIP). En vente dans les offices de tourisme d’Antibes et dans les points de ventes habituels.Infos au 06 75 19 40 85",Event category: ,Event subject: ,Event place: Pinède Gould,Event place location: Antibes,Event time begin: 2019-07-11T00:00:00Z,Event time end: 2019-07-11T23:59:00Z,http://data.linkedevents.org/event/3e870659-a34c-3d55-a89c-40bf187d478e
Event name: Théâtre : « L’ÉTUDIANTE ET MONSIEUR HENRI » avec le Théâtre Entre Nous," Event description: 19ème édition du festival de théâtre de Gourdon, à 21h, en plein air, sur la place Victoria Pièce nominée au Molière en 2012

Une pièce de Yvan CALBERAC
Mise en scène de Flora VINCENT
Avec: Claude YGOUF , Yves MAUBERT, Elodie LANG, Stella VARIS.

Un septuagénaire veuf refuse un placement en maison de retraite. Suite à l’insistance de son fils il accepte une colocation . Monsieur Henri va se servir de Constance étudiante pour créer un véritable chaos familial… Dont il était loin d’avoir prévu toutes les conséquences !
Une comédie décapante sur les ingérences familiales et ses conséquences : Qui se veut profonde, touchante et drôle !

Durée 1 H45",Event category: Culturelle,Event subject: Festival,Event place: Théâtre : « L’ÉTUDIANTE ET MONSIEUR HENRI » avec le Théâtre Entre Nous,Event place location: Gourdon,Event time begin: 2017-08-04T21:00:00Z,Event time end: 2017-08-04T00:00:00Z,http://data.linkedevents.org/event/3eb3395b-c859-3a02-91eb-237996d9d973
Event name: Présentation des travaux de fin d’année des classes d’Art Dramatique," Event description: Lieu: Théâtre du Tribunal - 5 place Amiral Barnaud Date: 11 Juin 2019  - 23 Juin 2019 Présentation des travaux de fin d’année des classes d’Art Dramatique
Du 11 au 23 juin, comme chaque année, le Théâtre du Tribunal ouvre ses portes afin de permettre aux élèves des classes d’art dramatique du Conservatoire d’Antibes, dirigés par Luc Girerd, de présenter leurs travaux de fin d’année.
Le programme

Mardi 11 juin à 18h15, Classe EVEIL ""ENFANTS 1"" (Ecole primaire), ""LA PHOTO DE CLASSE""…d’après Luc Girerd
Mardi 11 juin à 20h30, Classe APPRENTISSAGE ADOLESCENTS 1 (Collège 6e - 5e), ""UN LOUP CHEZ BLANCHE NEIGE"" d’après Luc Girerd
Mercredi 12 juin à 18h, Classe APPRENTISSAGE «ADOLESCENTS 2» (Collège 4e), ""KNOCK EN STOCK"" d’après Jules Romain
Mercredi 12 juin à 20h30, Classe APPRENTISSAGE «ADOLESCENTS 3» (Collège 3e), ""LE SECRET DE MAITRE CORNILLE""… d’après Alphonse Daudet
Vendredi 14 juin à 21h et dimanche 23 juin à 10h15, Classe INITATION «ADULTES », ""AU BAR DE LA MARINE"" d’après Marcel Pagnol
Vendredi 14 juin à 18h et dimanche 23 juin à 12h30, Classe PERFECTIONNEMENT «ADULTES 1», ""LA BONNE MOITIE"" d’après Romain Gary
Samedi 15 juin à 14h et dimanche 23 juin à 18h30, Classe PERFECTIONNEMENT «ADULTES 2», ""LES HANGARS A NAUTILUS"" d’après Luc Girerd
Samedi 15 juin à 17h30 et dimanche 23 juin à 16h, Classe APPROFONDISSEMENT «ADULTES 1», ""AUTOUR DE LA GUERRE DE TROIE"" d’après Jean Giraudoux
Samedi 15 juin à 21h et dimanche 23 juin à 21h, Classe APPROFONDISSEMENT «ADULTES 2», ""LE SONGE D'UNE NUIT D'ÉTÉ"" d’après William Shakespeare

Le programme complet
Entrée libre dans la limite des places disponibles au Théâtre du Tribunal",Event category: ,Event subject: ,Event place: Théâtre du Tribunal,Event place location: Antibes,Event time begin: 2019-06-11T00:00:00Z,Event time end: 2019-06-23T23:59:00Z,http://data.linkedevents.org/event/3ed22ace-38ca-3266-adc0-dfd700aacd2e
"Event name: Exposition ""Undiscovered Canvas"" - Concept store"," Event description: Lieu:  Casemate Comte - Boulevard d'AguilllonDate: 1 Août 2020  - 30 Septembre 2020 Exposition ""Undiscovered Canvas"" - Concept store
Du 1er août au 30 septembre
Fondée en 2017 par Nomaza Nongqunga Coupez, Undiscovered Canvas promeut les industries créatives africaines en Europe et en Afrique, en identifiant les marchés et en organisant des événements qui présentent le meilleur des créatifs africains.Nous pensons que les industries créatives ont la capacité de stimuler l'économie des pays, en créant de la richesse, de l'innovation et de la compétitivité.Grâce à un travail acharné et à la cohérence, nous avons construit de grandes relations qui ont abouti à la production de nombreuses expositions d'art, entre la France, Londres et l'Afrique du Sud.Nous avons créé des opportunités pour que la littérature africaine soit présentée au Salon du livre de Paris et nous avons créé des événements pour les cinéastes africains sur les marchés se déroulant à Cannes, comme le Festival de Cannes et le MIPCOM.
Plusieurs animations proposées:- Samedi 8 août, animation musicale de Kora de 18h à 22h- Samedi 15 août, lancement des artistes de la mode RichFactor, Africa your Time is Now, Galanto online et Chantel Mayer- Du 14 au 19 septembre Undiscovered Canvas a invité Ines Baccouche, curateur, d'Artforness, une galerie d'art en ligne qui vend et fait la promotion d'artistes de la région de MENA avec pour but de devenir une référence en Europe pour les illustrations et l'art de cette région de MENA.
Cliquez ici pour consulter le flyer de l'exposition
Entrée libre à la Casemate Comte.Boulevard d'Aguillon - Vieil Antibes",Event category: ,Event subject: ,Event place: Casemate Comte,Event place location: Antibes,Event time begin: 2020-08-01T00:00:00Z,Event time end: 2020-09-30T23:59:00Z,http://data.linkedevents.org/event/3ed512a2-35fd-3df6-be92-10385169dfbe
Event name: Sortie Nature : Balade fleurie sur la montagne de Thiey," Event description: Balade fleurie sur la montagne de Thiey Fritillaires, pivoines, pulsatilles de Haller, orchidées, tulipes sauvages, iris lutescens, papillons (Diane…). C’est que nous tenterons d’observer sur la montagne de Thiey au départ du hameau de Canaux.",Event category: Culturelle,Event subject: Culturelle,Event place: Sortie Nature : Balade fleurie sur la montagne de Thiey,Event place location: Andon,Event time begin: 2020-05-09T10:00:00Z,Event time end: 2020-05-09T17:00:00Z,http://data.linkedevents.org/event/3eee1d0b-4eb6-362c-8ab4-c50eb472e73b
Event name: Foudil Kaibou prend le pouvoir," Event description: On peut rire de tout, mais pas avec n’importe qui. Cette phrase de Desproges va comme un gant à Foudil. Après L’Arabe qui cache la forêt, Foudil Kaibou Prend le pouvoir et continue de faire rire et réfléchir grâce notamment au Jamel Comedy Club qui l’a propulsé. 

Auteur de Il n’y a qu’avec un père sévère que l’on persévère ou encore du sketch L’intégration française par le vin, il use des clichés et étiquettes sociales bien connus sans jamais chercher à faire rire une communauté en particulier. Humiliation aux caisses des supermarchés alors qu’il était petit, pleurs de son frère à qui on a pris le dernier yaourt dans le frigo, modèles de père plus ou moins indulgents selon les cultures, immersion dans une famille alsacienne... Foudil n’épargne personne et si son verbe est parfois acéré, on sent toujours bienveillance et respect. 

Un humour fédérateur!",Event category: Culturelle,Event subject: Culturelle,Event place: Foudil Kaibou prend le pouvoir,Event place location: Pégomas,Event time begin: 2017-10-13T20:30:00Z,Event time end: 2017-10-13T00:00:00Z,http://data.linkedevents.org/event/3f1a9011-1e12-3cf1-b392-ed41a35a3b42
Event name: Championnat de France N2 Tennis de table," Event description: Lieu: AzurArena Antibes - Rue Henri LaugierDate: 25 Novembre 2017 Championnat de France N2 Tennis de table
Samedi 25 novembre
L'Olympique d'Antibes reçoit Istres dans le cadre du championnat de France de Nationale 2.
Début des rencontres à 17h à l'Azurarena.Entrée libre.",Event category: ,Event subject: ,Event place: AzurArena Antibes,Event place location: Antibes,Event time begin: 2017-11-25T00:00:00Z,Event time end: 2017-11-25T23:59:00Z,http://data.linkedevents.org/event/3f27a3f6-d7c4-3d5e-9d6e-d737e0c35d76
Event name: Cirque Pérarnaud  Valdeblore," Event description: Samedi 22 & dimanche 23 juillet : Cirque Pérarnaud, 18h à St Dalmas.",Event category: ,Event subject: ,Event place: St Dalmas Valdeblore,Event place location: St Dalmas Valdeblore,Event time begin: 2017-07-22T18:00:00Z,Event time end: 2017-07-23T19:30:00Z,http://data.linkedevents.org/event/3f337fd2-d4c6-3e5b-a60b-0b80bdf3e9ed
Event name: Maîtres départementaux n°1," Event description: Lieu: Stade Nautique (Piscine municipale) - 210 Avenue Jules GrecDate: 10 Décembre 2017 Maîtres départementaux n°1
Dimanche 10 décembre
Le Cercle des Nageurs d'Antibes organise les ""Maîtres départementaux n°1""Compétition ouverte aux 25 ans et + qui se déroule dans le bassin intérieur de 25 m. Début des épreuves à 18h.
Entrée libre au Stade Nautique.",Event category: ,Event subject: ,Event place: Stade Nautique (Piscine municipale),Event place location: Antibes,Event time begin: 2017-12-10T00:00:00Z,Event time end: 2017-12-10T23:59:00Z,http://data.linkedevents.org/event/3f40ba47-a00b-3ee9-b281-dede5646eb13
"Event name: Monaco Shore Excursion, French Riviera Sightseeing"," Event description: Sightseeing tour starting from Monaco, we drive along the seacoast to visit some of French Riviera's most visited towns like Nice, Eze, Saint-Paul de Vence, and famous Principality of Monaco. Private minibus trip, small groups from 1 to 8 passengers per vehicle, you can customize your itinerary, discovering history and local heritage, stops and viewpoints in different French Riviera sights.Sightseeing tour starting from Monaco, we drive along the seacoast to visit some of French Riviera's most visited towns like Nice, Eze, Saint-Paul de Vence, and famous Principality of Monaco. Private minibus trip, small groups from 1 to 8 passengers per vehicle, you can customize your itinerary, discovering history and local heritage, stops and viewpoints in different French Riviera sights.Starting from Monaco cruise port, Principality of Monaco is a famous destination, 2nd smallest country in the world, and a playground for rich and famous. We'll go to the Palace Square to see official residence of Prince Albert II of Monaco (son of Grace Kelly), go inside Saint-Nicolas Cathedral where Princess Grace found her final resting place. We'll drive one full lap of Formula I race track, and make nice pictures at famous Monte-Carlo Square, where Historic Casino of Monte-Carlo and fabulous Hotel de Paris are located. To enter the Casino of Monte-Carlo, your passport will be required, dress code correct, and 17 Euros entrance fee per person not included, tickets are sold at the door. Casino is open always after 2 pm. 
     Following picturesque Moyenne Corniche road, we drive along seacoast - our next destination is medieval Eze - 13th century hill top village, built similarly to an eagle nest. Picturesque town, it dates back to 13th century, lots of donkey stairs, where animals used to walk up and down carrying merchandise. Among famous visitors - Walt Disney, who spend several of his vacations there, or german philosopher Friedrich Nietzsche ..   
     For those interesting in perfumery - Laboratory of Cosmetics, Fragonard - one of local Perfume manufactures will offer you a free guided tour inside their manufacture.         
      Moyenne Corniche road gives great views, next stop will be in Nice, capital of the French Riviera. We'll make photo stops at best viewpoints above Nice and Cap Ferrat. We'll ride on famous Promenade des Anglais seafront, Masséna Square and will spend some time in the Old Nice. Cours Saleya - by the Opera House, with a flower market and many restaurants. You could have a coffee and croissant, or just wonder around as you like. On Mondays there is a large flee market full of antiquities.   
   Later, if there's still time left, we can go visit  Saint-Paul de Vence. Old 16th century fortress, it was turned into residential town, often visited by artists in the last century, today you will find there lots of art galleries, painting and sculptures ..  or visit grave of painter Marc Chagall.     



8 heures

600,00
544.54
715.78",Event category: Croisières cabotage,Event subject: ,Event place: Nice,Event place location: Nice,Event time begin: 2018-07-24T16:29:00Z,Event time end: 2020-07-24T16:29:00Z,http://data.linkedevents.org/event/3f56d6f8-45d0-3d49-a817-d59cc2fed0c8
Event name: Transhum'ânes 2019 des Anes de Blore, Event description: La Transhum'âne 2019 des ÂNES DE BLORE. Deux jours de randonnée sportive et conviviale avec un bivouac festif aux Granges de la Brasque www.anesdeblore.fr,Event category: ,Event subject: ,Event place: St Dalmas,Event place location: St Dalmas,Event time begin: 2019-06-15T09:30:00Z,Event time end: 2019-06-16T16:00:00Z,http://data.linkedevents.org/event/3f71cf87-ac1d-3d0c-9bc9-ad4ca05777ab
"Event name: Voile - ""3 Caps"""," Event description: Lieu: Baie d'Antibes - Date: 4 Avril 2020  - 5 Avril 2020 ""Les 3 Caps""
Les 4 et 5 avril
La Société des Régates d'Antibes organise ""Les 3 Caps"", une course réservée aux séries habitables.
Infos et inscriptions au 04 92 91 13 13 ou sur sr-antibes.fr",Event category: ,Event subject: ,Event place: Baie d'Antibes,Event place location: Antibes,Event time begin: 2020-04-04T00:00:00Z,Event time end: 2020-04-05T23:59:00Z,http://data.linkedevents.org/event/3f83b6b5-74f9-36ba-909b-11c6fe304cd3
Event name: LE PERE NOEL EST UNE ORDURE," Event description: Incontournable comédie qui vous replongera dans l'ambiance des fêtes de fin d'année. 

 Réservation en mairie : 04 93 77 20 02
tarif plein : 15 euros
- de 12 ans : 8 euros",Event category: Culturelle,Event subject: Culturelle,Event place: LE PERE NOEL EST UNE ORDURE,Event place location: Le Rouret,Event time begin: 2017-11-10T20:30:00Z,Event time end: 2017-11-10T00:00:00Z,http://data.linkedevents.org/event/3fb15170-9350-3e1d-8b74-3a165041670c
"Event name: Villefranche Shore Excursion: Private Custom Tour of Eze, La Turbie and Monaco"," Event description: This 6 hour private tour will give you the opportunity to see some of the most renown places in the French Riviera. With your private guide, visit Villefranche-sur-Mer, the medieval village of Eze and La Turbie or Monaco and Monte Carlo. The itinerary of this tour can be customized depending on your own preferences.This 6 hour private tour will give you the opportunity to see some of the most renown places in the French Riviera. With your private guide, visit Villefranche-sur-Mer, the medieval village of Eze and La Turbie or Monaco and Monte Carlo. The itinerary of this tour can be customized depending on your own preferences.At your arrival on the pier port, meet your professional guide, board the air-conditioned van and start your French Riviera tour. This tour can be customized according to your personal preferences. During the tour, your guide will be happy to answer your questions and will provide all information on the visited places. Here is an example of a possible itinerary:Start from Villefranche-sur-Mer and stop first in the medieval village of Eze, where you can admire the great view over the French Riviera and take the opportunity to visit the perfume factory Fragonard.Continue to the perched village of La Turbie with its famous ""Trophy of the Alps"" Move on to Monaco and visit with the Prince's Palace, the Monte Carlo Casino, the gardens and the Formula 1 Grand Prix track. At the end of the tour, your guide will drop you back at the Villefranche-sur-Mer pier port.

6 heures

430,00
390.25
512.98",Event category: Croisières cabotage,Event subject: ,Event place: Villefranche-sur-Mer,Event place location: Villefranche-sur-Mer,Event time begin: 2018-07-24T16:29:00Z,Event time end: 2020-07-24T16:29:00Z,http://data.linkedevents.org/event/3fb70714-8ce9-3864-b9ae-4dda5f5aeeb9
Event name: Monsieur et Madame Bulot," Event description: Lieu: Théâtre Antibéa (Antibéa Comédie d'Antibes) - 1 Place NationaleDate: 23 Octobre 2019 Au pays des jouets oubliés
Mercredi 23 octobre
Avec Olivier Rolland, Elisa Ciuti Spectacle à 14hTarifs: 6 et 8 €
Théâtre Antibea, 15 rue ClemenceauBilletterie : 04 93 34 24 30 ou theatre-antibea.com",Event category: ,Event subject: ,Event place: Théâtre Antibéa (Antibéa Comédie d'Antibes),Event place location: Antibes,Event time begin: 2019-10-23T00:00:00Z,Event time end: 2019-10-23T23:59:00Z,http://data.linkedevents.org/event/3fbc9b35-01dd-3b07-ac5d-ca636ee907cd
Event name: 44e Salon de la Fleur et de l'oiseau," Event description: Lieu: Espaces du Fort Carré - 6 Avenue du 11 NovembreDate: 3 Novembre 2018  - 4 Novembre 2018 44e Salon de la Fleur et de l'oiseau
Les 3 et 4 novembre, l'Oiseau Club d'Antibes organise le 44e salon de la Fleur et de l'Oiseau avec le ""Challenge Francis Faure"", spécial canaris de posture et mosaïques.
De nombreux éleveurs et passionnés seront réunis pour présenter leurs plus beaux spécimens.Inauguration le samedi 3 novembre à 11h.
Ouvert de 10h à 18h aux Espaces du Fort Carré.Entrée libre",Event category: ,Event subject: ,Event place: Espaces du Fort Carré,Event place location: Antibes,Event time begin: 2018-11-03T00:00:00Z,Event time end: 2018-11-04T23:59:00Z,http://data.linkedevents.org/event/3fc60344-2eb4-3205-92be-95a982fca031
